employee_id,age,department,job_role,salary,years_at_company,years_in_role,overtime,satisfaction_score,commute_distance,promotion_count,training_hours,performance_score,attrition
EMP_00161,29,Engineering,DevOps Specialist,120600,8,0,No,4,22.9,1,,3,0
EMP_00162,29,Sales,Sales Director,183300,1,1,No,3,12.5,0,0.0,3,0
EMP_00163,21,Human Resources,Recruiter,57200,1,0,No,1,15.0,0,25.0,4,0
EMP_00164,33,Engineering,Software Engineer,95600,1,0,No,1,14.5,0,17.0,3,1
EMP_00165,34,Product & Design,UX Designer,121000,10,1,No,4,1.0,3,39.0,3,0
EMP_00166,28,Operations,Customer Support Specialist,59100,8,0,No,3,,3,31.0,4,0
EMP_00167,38,Engineering,DevOps Specialist,99400,1,1,No,5,13.5,0,31.0,3,0
EMP_00168,43,Engineering,QA Analyst,71200,0,0,No,3,1.5,0,40.0,2,0
EMP_00169,22,Human Resources,HR Specialist,61600,0,0,No,3,9.3,0,14.0,3,0
EMP_00170,36,Human Resources,HR Director,170700,6,4,Yes,4,2.4,2,39.0,4,0
EMP_00171,41,Engineering,Tech Lead,202000,9,3,Yes,5,31.5,4,51.0,3,1
EMP_00172,57,Operations,Customer Support Specialist,59800,6,6,No,2,2.7,2,43.0,3,0
EMP_00173,39,Human Resources,HR Director,155200,7,7,Yes,4,30.3,2,15.0,3,1
EMP_00174,35,Product & Design,Product Manager,175400,13,9,No,4,26.1,5,17.0,3,0
EMP_00175,36,Human Resources,HR Specialist,66800,1,1,No,1,44.7,0,31.0,3,0
EMP_00176,30,Sales,Account Executive,149600,10,1,No,4,16.9,3,31.0,5,0
EMP_00177,24,Sales,Sales Director,210900,1,1,No,1,1.3,0,35.0,3,1
EMP_00178,33,Operations,Customer Support Specialist,44200,3,2,Yes,1,7.5,1,37.0,2,0
EMP_00179,29,Sales,Sales Representative,79100,9,0,Yes,2,4.7,2,20.0,4,0
EMP_00180,41,Product & Design,Product Analyst,79300,0,0,No,4,16.8,0,10.0,3,0
EMP_00181,23,Engineering,Software Engineer,106100,3,1,No,1,17.4,0,16.0,4,0
EMP_00182,31,Engineering,DevOps Specialist,101000,0,0,No,1,9.1,0,,3,1
EMP_00183,43,Product & Design,UX Designer,93500,2,2,No,5,4.2,0,44.0,4,0
EMP_00184,32,Engineering,DevOps Specialist,109700,3,0,No,4,4.4,0,7.0,1,0
EMP_00185,44,Operations,Customer Support Specialist,54800,0,0,No,3,20.3,0,37.0,4,0
EMP_00186,44,Product & Design,UX Designer,99100,1,0,Yes,2,13.0,0,36.0,3,0
EMP_00187,38,Sales,Account Executive,87200,4,4,No,3,9.4,0,24.0,3,0
EMP_00188,48,Operations,Supply Chain Lead,107400,3,1,No,2,4.8,0,32.0,3,0
EMP_00189,32,Sales,Sales Director,181300,3,0,No,4,15.5,0,29.0,3,0
EMP_00190,34,Human Resources,HR Specialist,63200,0,0,No,5,15.5,0,31.0,4,0
EMP_00191,39,Engineering,Senior Engineer,136000,0,0,No,3,10.6,0,27.0,3,1
EMP_00192,23,Product & Design,UX Designer,87600,1,1,No,3,1.9,0,26.0,2,1
EMP_00193,48,Human Resources,Recruiter,72400,2,2,No,4,9.2,0,,3,0
EMP_00194,27,Product & Design,UX Designer,109800,2,0,No,3,9.6,0,37.0,4,0
EMP_00195,28,Sales,Sales Director,211300,6,6,No,4,10.8,1,26.0,1,0
EMP_00196,47,Engineering,QA Analyst,70300,0,0,Yes,2,1.7,0,48.0,3,0
EMP_00197,33,Operations,Supply Chain Lead,107400,3,0,No,2,4.8,1,38.0,5,0
EMP_00198,49,Operations,Operations Analyst,91700,10,3,No,3,,3,21.0,3,0
EMP_00199,31,Sales,Sales Representative,60100,1,0,No,1,29.4,0,27.0,3,0
EMP_00200,26,Product & Design,Product Analyst,87100,5,0,No,3,5.9,1,40.0,3,0
EMP_00201,36,Operations,Supply Chain Lead,135600,12,5,No,2,13.4,2,1.0,4,0
EMP_00202,37,Engineering,DevOps Specialist,127500,2,2,No,3,15.8,0,29.0,3,0
EMP_00203,41,Engineering,Tech Lead,158300,0,0,No,1,5.1,0,32.0,3,1
EMP_00204,30,Sales,Sales Director,188100,3,1,No,4,8.6,1,40.0,3,0
EMP_00205,27,Sales,Sales Representative,60300,5,0,No,3,18.3,2,23.0,1,0
EMP_00206,29,Engineering,Software Engineer,108200,5,3,Yes,2,,3,23.0,3,0
EMP_00207,35,Human Resources,Recruiter,60700,0,0,No,3,1.8,0,28.0,5,0
EMP_00208,37,Operations,Customer Support Specialist,42600,0,0,Yes,4,14.5,0,10.0,3,1
EMP_00209,34,Engineering,Senior Engineer,142600,0,0,No,3,17.0,0,53.0,2,0
EMP_00210,39,Engineering,DevOps Specialist,107300,1,1,No,4,6.5,0,22.0,3,0
EMP_00211,26,Operations,Operations Analyst,67100,2,2,No,2,4.0,0,32.0,3,0
EMP_00212,23,Engineering,Senior Engineer,140700,0,0,No,5,9.8,0,54.0,3,0
EMP_00213,26,Product & Design,Product Manager,139100,4,0,Yes,4,7.2,4,36.0,3,1
EMP_00214,21,Operations,Customer Support Specialist,50400,1,1,No,4,16.2,0,35.0,2,0
EMP_00215,39,Operations,Customer Support Specialist,88100,19,0,Yes,3,,2,31.0,4,0
EMP_00216,24,Sales,Sales Director,208600,4,2,No,3,16.5,2,49.0,5,0
EMP_00217,48,Operations,Supply Chain Lead,117100,4,1,No,3,8.7,1,9.0,4,0
EMP_00218,32,Engineering,Tech Lead,183300,5,2,No,3,14.4,1,,3,0
EMP_00219,34,Product & Design,Product Analyst,99900,2,2,No,4,24.5,0,12.0,5,0
EMP_00220,38,Engineering,Tech Lead,175500,0,0,No,1,24.4,0,31.0,3,1
EMP_00221,38,Engineering,DevOps Specialist,106900,0,0,Yes,4,11.6,0,30.0,3,0
EMP_00222,28,Operations,Operations Analyst,63500,0,0,Yes,2,8.0,0,22.0,3,1
EMP_00223,30,Product & Design,Product Analyst,78100,1,0,Yes,2,13.3,0,40.0,3,1
EMP_00224,38,Engineering,Senior Engineer,178900,7,3,No,4,5.1,1,26.0,3,0
EMP_00225,51,Engineering,Senior Engineer,147300,3,3,No,4,25.2,2,24.0,5,0
EMP_00226,31,Sales,Sales Director,198600,4,0,No,3,26.7,1,48.0,3,0
EMP_00227,28,Operations,Operations Analyst,66100,0,0,Yes,4,6.7,0,39.0,3,0
EMP_00228,43,Product & Design,Product Analyst,119700,12,6,No,3,,5,36.0,3,0
EMP_00229,21,Engineering,QA Analyst,73700,0,0,No,1,3.6,0,20.0,3,0
EMP_00230,34,Engineering,Senior Engineer,177800,6,2,No,4,1.5,3,13.0,4,0
EMP_00231,42,Engineering,QA Analyst,104200,11,11,No,5,,4,22.0,3,0
EMP_00232,50,Human Resources,HR Specialist,64700,1,1,No,5,1.8,0,,3,0
EMP_00233,37,Operations,Customer Support Specialist,57100,4,2,No,3,8.8,0,23.0,3,0
EMP_00234,33,Sales,Sales Director,186600,2,2,Yes,2,21.8,0,31.0,3,0
EMP_00235,28,Engineering,QA Analyst,65100,2,2,Yes,1,26.9,0,12.0,2,1
EMP_00236,43,Operations,Operations Analyst,59200,0,0,No,3,24.8,0,41.0,3,0
EMP_00237,38,Engineering,Software Engineer,99300,0,0,Yes,4,2.6,0,31.0,5,0
EMP_00238,48,Engineering,QA Analyst,81300,5,3,Yes,1,18.8,5,30.0,4,1
EMP_00239,37,Engineering,Software Engineer,99700,5,2,No,4,,1,31.0,4,0
EMP_00240,22,Engineering,Senior Engineer,118300,0,0,No,3,11.5,0,33.0,3,0
EMP_00241,31,Sales,Sales Representative,52000,0,0,Yes,4,27.8,0,33.0,3,1
EMP_00242,38,Product & Design,Product Analyst,77200,1,1,Yes,5,9.3,0,27.0,3,0
EMP_00243,29,Operations,Operations Analyst,67600,3,3,No,4,13.6,0,18.0,3,0
EMP_00244,21,Product & Design,UX Designer,88700,1,1,Yes,3,2.9,0,13.0,3,0
EMP_00245,28,Sales,Sales Director,211200,8,0,Yes,1,1.5,2,14.0,3,1
EMP_00246,48,Engineering,Senior Engineer,143400,1,0,No,3,4.2,0,7.0,3,0
EMP_00247,35,Sales,Account Executive,137200,5,1,No,2,1.3,3,33.0,5,0
EMP_00248,45,Engineering,Tech Lead,246000,9,1,No,3,,3,15.0,4,0
EMP_00249,32,Engineering,Senior Engineer,171300,9,7,Yes,3,1.3,1,21.0,3,0
EMP_00250,36,Sales,Sales Representative,67100,3,0,No,3,2.6,0,11.0,4,1
EMP_00251,41,Engineering,Software Engineer,92300,11,0,Yes,4,8.5,3,21.0,2,0
EMP_00252,29,Sales,Sales Representative,64400,6,0,Yes,3,13.5,0,46.0,3,1
EMP_00253,26,Operations,Customer Support Specialist,46600,2,0,No,4,20.1,0,18.0,3,0
EMP_00254,33,Engineering,Senior Engineer,144800,0,0,No,1,5.8,0,28.0,2,0
EMP_00255,21,Sales,Account Executive,109600,1,1,Yes,5,20.1,0,18.0,3,1
EMP_00256,38,Operations,Operations Analyst,69300,4,4,Yes,2,37.5,2,36.0,2,1
EMP_00257,45,Engineering,DevOps Specialist,112600,0,0,Yes,3,5.4,0,,4,1
EMP_00258,35,Human Resources,HR Specialist,56800,5,3,No,3,1.3,3,36.0,2,0
EMP_00259,39,Operations,Supply Chain Lead,102600,1,1,No,5,,0,19.0,4,0
EMP_00260,37,Engineering,QA Analyst,72900,1,0,No,1,26.6,0,30.0,3,0
EMP_00261,49,Engineering,Tech Lead,215100,6,0,No,3,1.1,0,20.0,3,0
EMP_00262,37,Engineering,Software Engineer,89100,2,2,No,2,8.2,0,18.0,3,1
EMP_00263,28,Engineering,DevOps Specialist,138200,5,3,No,2,14.0,1,8.0,3,0
EMP_00264,43,Sales,Sales Representative,68300,5,4,No,2,9.8,1,6.0,3,0
EMP_00265,35,Human Resources,HR Director,163200,0,0,No,5,4.5,0,33.0,3,0
EMP_00266,21,Sales,Account Executive,96700,1,0,No,5,17.2,0,33.0,3,0
EMP_00267,26,Operations,Operations Analyst,71100,5,1,No,2,10.7,2,42.0,2,1
EMP_00268,39,Engineering,QA Analyst,117000,19,1,No,3,1.7,5,32.0,3,0
EMP_00269,32,Sales,Account Executive,94100,0,0,Yes,3,3.7,0,36.0,3,1
EMP_00270,32,Engineering,QA Analyst,65400,0,0,No,3,2.7,0,25.0,3,0
EMP_00271,23,Product & Design,Product Analyst,73000,1,1,No,3,3.4,0,28.0,3,0
EMP_00272,46,Sales,Account Executive,117000,2,1,No,1,2.8,0,,4,0
EMP_00273,34,Engineering,Tech Lead,177100,4,1,No,5,3.7,0,15.0,3,0
EMP_00274,35,Engineering,DevOps Specialist,106600,0,0,No,3,1.2,0,,3,0
EMP_00275,48,Sales,Account Executive,99600,3,0,No,2,3.5,1,34.0,3,0
EMP_00276,34,Sales,Sales Director,170500,0,0,Yes,1,9.1,0,21.0,3,0
EMP_00277,32,Operations,Operations Analyst,80600,12,5,Yes,2,9.0,1,29.0,2,0
EMP_00278,24,Engineering,DevOps Specialist,116600,0,0,No,2,5.4,0,,2,0
EMP_00279,36,Operations,Customer Support Specialist,75700,14,0,No,2,2.3,2,33.0,3,0
EMP_00280,30,Product & Design,Product Analyst,87400,1,1,No,2,6.8,0,20.0,3,0
EMP_00281,31,Product & Design,Product Analyst,103600,5,2,No,4,1.1,1,52.0,5,0
EMP_00282,50,Engineering,Tech Lead,199400,4,1,No,3,8.0,1,,2,0
EMP_00283,36,Engineering,Senior Engineer,118600,1,1,No,2,2.5,0,26.0,3,0
EMP_00284,30,Engineering,Senior Engineer,120900,0,0,Yes,4,10.7,0,17.0,1,0
EMP_00285,23,Sales,Account Executive,97200,3,0,No,4,4.9,1,38.0,3,0
EMP_00286,25,Sales,Sales Representative,58900,3,2,Yes,1,9.0,1,,3,1
EMP_00287,25,Human Resources,HR Specialist,64300,1,1,No,4,19.1,0,15.0,3,1
EMP_00288,36,Engineering,Tech Lead,180200,0,0,No,2,2.6,0,28.0,3,0
EMP_00289,40,Product & Design,UX Designer,100500,4,4,No,3,2.8,0,30.0,4,1
EMP_00290,27,Sales,Account Executive,108200,5,1,Yes,3,6.6,0,28.0,3,0
EMP_00291,31,Product & Design,Product Analyst,89300,4,2,No,5,19.4,0,32.0,3,0
EMP_00292,29,Operations,Supply Chain Lead,104300,6,0,No,4,2.4,3,39.0,3,0
EMP_00293,43,Engineering,Tech Lead,162300,0,0,No,4,23.7,0,22.0,3,0
EMP_00294,52,Product & Design,Product Manager,156800,4,1,No,4,30.7,1,26.0,5,0
EMP_00295,30,Engineering,QA Analyst,71000,2,2,Yes,5,12.0,0,31.0,3,0
EMP_00296,28,Sales,Account Executive,118900,8,0,Yes,3,3.0,0,21.0,3,1
EMP_00297,37,Sales,Account Executive,114500,4,1,No,4,7.7,2,21.0,3,0
EMP_00298,28,Operations,Operations Analyst,62000,1,0,No,3,22.8,0,29.0,3,0
